label,value,standard_error,expression,maximum,minimum,non_negative,vary
CT7203scalem.WLtr2a2,0.04253085811787165,0.0008037023580289442,None,,,False,True
CT7203scalem.FRLtr1a,2.66e-35,5.972622204,None,,,False,False
CT7203scalem.FRLtr1f,0.004802345392329704,0.0009252264540846895,None,,,False,True
CT7203scalem.FRLtr2a,0.0024964164083026053,9.973665420097675e-05,None,,,False,True
CT7203scalem.FRLtr2f,3.4e-176,206410.5089,None,,,False,False
CT7203scalem.FRLtr4a,0.005817782035163262,3.032903050884033e-05,None,,,False,True
CT7203scalem.FRLtr4f,0.004359329841293356,8.291735561954677e-05,None,,,False,True
CT7203irfWLtr1.center,56.393177,None,None,,,False,False
CT7203irfWLtr1.width1,1.81788588,None,None,,,False,False
CT7203irfWLtr1.width2,3.61882663,None,None,,,False,False
CT7203irfWLtr1.scale1,1.0,None,None,,,False,False
CT7203irfWLtr1.scale2,0.313295126,None,None,,,False,False
CT7203irfWLtr2.center,56.6114464,None,None,,,False,False
CT7203irfWLtr2.width1,2.86150789,None,None,,,False,False
CT7203irfWLtr2.width2,7.59190321,None,None,,,False,False
CT7203irfWLtr2.scale1,1.0,None,None,,,False,False
CT7203irfWLtr2.scale2,0.239356384,None,None,,,False,False
CT7203irfFRLtr1.center,55.8994598,None,None,,,False,False
CT7203irfFRLtr1.width1,2.29760122,None,None,,,False,False
CT7203irfFRLtr1.width2,4.13698006,None,None,,,False,False
CT7203irfFRLtr1.scale1,1.0,None,None,,,False,False
CT7203irfFRLtr1.scale2,0.0476,None,None,,,False,False
CT7203irfFRLtr2.center,56.6581841,None,None,,,False,False
CT7203irfFRLtr2.width1,2.82486439,None,None,,,False,False
CT7203irfFRLtr2.width2,6.79575062,None,None,,,False,False
CT7203irfFRLtr2.scale1,1.0,None,None,,,False,False
CT7203irfFRLtr2.scale2,0.232422978,None,None,,,False,False
CT7203irfFRLtr4.center,218.448105,None,None,,,False,False
CT7203irfFRLtr4.width1,6.76730967,None,None,,,False,False
CT7203irfFRLtr4.width2,17.2008362,None,None,,,False,False
CT7203irfFRLtr4.scale1,1.0,None,None,,,False,False
CT7203irfFRLtr4.scale2,0.523424447,None,None,,,False,False
CF9212rates.kF,0.000273,None,None,,,False,False
CF9212rates.kFf,0.0002,None,None,,,False,False
CF9212rates.WLRP1,0.0585,None,$rates.WLRP1,,,False,False
CF9212rates.FRLRP1,0.06,None,$rates.FRLRP1,,,False,False
CF9212rates.gRed1C,-1.1748347629353668,0.007506598899320964,None,,,False,True
CF9212rates.gRed2C,-0.05536775245816528,0.0023781217425889426,None,,,False,True
CF9212rates.ToBulkFromRed1,0.332168822,0.004200691,$rates.ToBulkFromRed1,,,False,False
CF9212rates.ToRed1FromBulk,0.10259698811882804,None,$CF9212rates.ToBulkFromRed1*exp($CF9212rates.gRed1C),,,False,False
CF9212rates.ToBulkFromRed2,0.052336103,0.004673263,$rates.ToBulkFromRed2,,,False,False
CF9212rates.ToRed2FromBulk,0.0495171307958871,None,$CF9212rates.ToBulkFromRed2*exp($CF9212rates.gRed2C),,,False,False
CF9212rates.gChlf1C,2.170077221,0.005995457,None,,,False,False
CF9212rates.gChlf2C,2.78008831,0.005240105,None,,,False,False
CF9212rates.ToBulkFromChlf1,0.011310507,0.005548847,$rates.ToBulkFromChlf1,,,False,False
CF9212rates.ToChlf1FromBulk,0.09906828280728558,None,$CF9212rates.ToBulkFromChlf1*exp($CF9212rates.gChlf1C),,,False,False
CF9212rates.ToBulkFromChlf2,0.001641696,0.011342815,$rates.ToBulkFromChlf2,,,False,False
CF9212rates.ToChlf2FromBulk,0.026464869223702003,None,$CF9212rates.ToBulkFromChlf2*exp($CF9212rates.gChlf2C),,,False,False
CF9212rates.gWLRCC,-1.5,0.002374177,$rates.gWLRCC,,,False,False
CF9212rates.ToBulkFromWLRC,0.5447424980498383,None,$rates.ToBulkFromWLRC,,,False,False
CF9212rates.ToWLRCFromBulk,0.12154848082951614,None,$CF9212rates.ToBulkFromWLRC*exp($CF9212rates.gWLRCC),,,False,False
CF9212rates.gFRLRCC,1.75,0.016094391,$rates.gFRLRCC,,,False,False
CF9212rates.ToBulkFromFRLRC,0.02000876,0.022585526,$rates.ToBulkFromFRLRC,,,False,False
CF9212rates.ToFRLRCFromBulk,0.11514246383955642,None,$CF9212rates.ToBulkFromFRLRC*exp($CF9212rates.gFRLRCC),,,False,False
CF9212rates.gWLRP1C_gWLRCC,5.12,None,$rates.gWLRP1C_gWLRCC,,,False,False
